Name,Method,File,Student,Question,Result,Time,Index,Gold_Wrong,Total_Answered,Gender,Age,Education,Relationship,Department,Crowdsourcing_Knowledge,Crowdsourcing_Use
;022322874=0140?,Umati,/4_3.png:norm,4,3,0,1301331637.74,19,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/1_3.png:norm,1,3,2,1301331647.89,20,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/6_3.png:norm,6,3,4,1301331650.81,21,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/3_3.png:norm,3,3,2,1301331660.08,22,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/8_3.png:norm,8,3,1,1301331664.1,23,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/9_8.png:gold,9,8,4,1301331674.95,24,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;020576028=0140?,Umati,/9_5.png:gold,9,5,4,1301356990.77,0,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,/6_5.png:norm,6,5,4,1301356999.79,1,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,/5_5.png:norm,5,5,4,1301357013.39,2,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,/4_5.png:norm,4,5,0,1301357023.25,3,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,/2_5.png:norm,2,5,4,1301357048.09,4,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,/3_5.png:norm,3,5,4,1301357051.24,5,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,/7_5.png:norm,7,5,4,1301357054.53,6,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,/1_5.png:norm,1,5,0,1301357057.42,7,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,/8_5.png:norm,8,5,4,1301357059.85,8,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,9_12.png:gold,9,12,4,1301357067.79,9,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,4_12.png:norm,4,12,3,1301357071.22,10,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,5_12.png:norm,5,12,4,1301357073.35,11,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,6_12.png:norm,6,12,4,1301357075.33,12,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,8_12.png:norm,8,12,4,1301357077.88,13,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;020576028=0140?,Umati,7_12.png:norm,7,12,4,1301357080.17,14,0,15,Male,0-18,Masters,Undergraduate Student,Not Related,Yes,Not Sure
;022193877=0140?,Umati,/9_3.png:gold,9,3,0,1301586498.74,0,2,10,Male,18-20,Associates,Undergraduate Student,CS,No,No
;022193877=0140?,Umati,/3_3.png:norm,3,3,0,1301586524.9,1,2,10,Male,18-20,Associates,Undergraduate Student,CS,No,No
;022193877=0140?,Umati,/6_3.png:norm,6,3,0,1301586529.64,2,2,10,Male,18-20,Associates,Undergraduate Student,CS,No,No
;022193877=0140?,Umati,/2_3.png:norm,2,3,0,1301586539.45,3,2,10,Male,18-20,Associates,Undergraduate Student,CS,No,No
;022193877=0140?,Umati,/8_3.png:norm,8,3,0,1301586542.0,4,2,10,Male,18-20,Associates,Undergraduate Student,CS,No,No
;022193877=0140?,Umati,/5_3.png:norm,5,3,0,1301586544.02,5,2,10,Male,18-20,Associates,Undergraduate Student,CS,No,No
;022193877=0140?,Umati,/4_3.png:norm,4,3,0,1301586546.05,6,2,10,Male,18-20,Associates,Undergraduate Student,CS,No,No
;022193877=0140?,Umati,/1_3.png:norm,1,3,0,1301586548.33,7,2,10,Male,18-20,Associates,Undergraduate Student,CS,No,No
;022193877=0140?,Umati,/7_3.png:norm,7,3,0,1301586550.63,8,2,10,Male,18-20,Associates,Undergraduate Student,CS,No,No
;022193877=0140?,Umati,/9_2.png:gold,9,2,0,1301586566.27,9,2,10,Male,18-20,Associates,Undergraduate Student,CS,No,No
;020046468=1140?,Umati,/9_9.png:gold,9,9,4,1301505303.73,0,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/8_9.png:norm,8,9,0,1301505322.34,1,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/5_9.png:norm,5,9,0,1301505328.98,2,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/1_9.png:norm,1,9,4,1301505337.13,3,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/7_9.png:norm,7,9,0,1301505364.8,4,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/3_9.png:norm,3,9,4,1301505373.12,5,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/4_9.png:norm,4,9,0,1301505399.69,6,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/6_9.png:norm,6,9,4,1301505403.83,7,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/2_9.png:norm,2,9,4,1301505407.2,8,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,9_12.png:gold,9,12,4,1301505453.46,9,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,5_12.png:norm,5,12,2,1301505472.73,10,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,7_12.png:norm,7,12,4,1301505501.45,11,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,4_12.png:norm,4,12,0,1301505509.94,12,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,6_12.png:norm,6,12,4,1301505513.86,13,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,8_12.png:norm,8,12,0,1301505522.77,14,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/9_4.png:gold,9,4,4,1301505562.75,15,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/6_4.png:norm,6,4,4,1301505576.33,16,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/8_4.png:norm,8,4,1,1301505611.39,17,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/5_4.png:norm,5,4,0,1301505621.95,18,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/1_4.png:norm,1,4,3,1301505635.12,19,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/4_4.png:norm,4,4,0,1301505660.55,20,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/3_4.png:norm,3,4,4,1301505668.98,21,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/2_4.png:norm,2,4,0,1301505675.66,22,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/7_4.png:norm,7,4,2,1301505707.81,23,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/9_2.png:gold,9,2,4,1301505751.45,24,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/9_7.png:gold,9,7,1,1301505781.16,25,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/5_7.png:norm,5,7,4,1301505786.85,26,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/1_7.png:norm,1,7,4,1301505791.12,27,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/8_7.png:norm,8,7,2,1301505797.41,28,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/6_7.png:norm,6,7,4,1301505800.12,29,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/4_7.png:norm,4,7,0,1301505843.04,30,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/3_7.png:norm,3,7,4,1301505850.98,31,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/2_7.png:norm,2,7,4,1301505854.84,32,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/7_7.png:norm,7,7,4,1301505886.06,33,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/9_6.png:gold,9,6,4,1301505891.64,34,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/4_6.png:norm,4,6,0,1301505918.82,35,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/2_6.png:norm,2,6,0,1301505921.16,36,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/6_6.png:norm,6,6,4,1301505923.83,37,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/5_6.png:norm,5,6,0,1301505926.47,38,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/3_6.png:norm,3,6,4,1301505928.79,39,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/8_6.png:norm,8,6,4,1301505931.7,40,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/1_6.png:norm,1,6,3,1301505964.17,41,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/7_6.png:norm,7,6,4,1301505971.03,42,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/9_5.png:gold,9,5,4,1301505981.42,43,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/6_5.png:norm,6,5,0,1301505990.71,44,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/8_5.png:norm,8,5,4,1301505996.41,45,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/5_5.png:norm,5,5,0,1301506025.02,46,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/1_5.png:norm,1,5,1,1301506047.85,47,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/3_5.png:norm,3,5,4,1301506053.32,48,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/2_5.png:norm,2,5,4,1301506057.02,49,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/4_5.png:norm,4,5,4,1301506060.23,50,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/7_5.png:norm,7,5,4,1301506066.01,51,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/9_1.png:gold,9,1,4,1301506073.02,52,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/2_1.png:norm,2,1,0,1301506096.51,53,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/5_1.png:norm,5,1,0,1301506105.45,54,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/1_1.png:norm,1,1,0,1301506109.4,55,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/3_1.png:norm,3,1,0,1301506112.03,56,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/8_1.png:norm,8,1,1,1301506134.24,57,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/7_1.png:norm,7,1,1,1301506184.34,58,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/4_1.png:norm,4,1,0,1301506205.34,59,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,/6_1.png:norm,6,1,0,1301506252.4,60,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,9_11.png:gold,9,11,4,1301506263.69,61,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,8_11.png:norm,8,11,4,1301506296.85,62,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,4_11.png:norm,4,11,0,1301506302.94,63,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;020046468=1140?,Umati,6_11.png:norm,6,11,4,1301506310.05,64,1,65,Female,18-20,High School,Undergraduate Student,CS,Yes,Not Sure
;021174582=1140?,Umati,/9_1.png:gold,9,1,4,1301587942.89,0,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/8_1.png:norm,8,1,4,1301587961.81,1,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/1_1.png:norm,1,1,0,1301587984.65,2,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/7_1.png:norm,7,1,4,1301588010.49,3,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/4_1.png:norm,4,1,0,1301588038.08,4,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/9_6.png:gold,9,6,0,1301588171.98,5,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/1_6.png:norm,1,6,0,1301588174.77,6,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/5_6.png:norm,5,6,0,1301588175.92,7,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/4_6.png:norm,4,6,0,1301588177.27,8,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/2_6.png:norm,2,6,0,1301588180.59,9,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/6_6.png:norm,6,6,0,1301588181.06,10,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/3_6.png:norm,3,6,0,1301588181.42,11,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/8_6.png:norm,8,6,0,1301588181.66,12,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/7_6.png:norm,7,6,0,1301588182.2,13,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/6_1.png:norm,6,1,0,1301588182.43,14,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/2_1.png:norm,2,1,0,1301588182.44,15,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/3_1.png:norm,3,1,0,1301588183.01,16,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021174582=1140?,Umati,/5_1.png:norm,5,1,0,1301588183.02,17,1,18,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/9_1.png:gold,9,1,4,1301361136.12,0,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/9_9.png:gold,9,9,4,1301361187.13,1,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/6_9.png:norm,6,9,4,1301361192.43,2,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/2_9.png:norm,2,9,2,1301361200.97,3,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/4_9.png:norm,4,9,0,1301361212.16,4,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/3_9.png:norm,3,9,4,1301361215.59,5,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/8_9.png:norm,8,9,0,1301361220.39,6,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/9_6.png:gold,9,6,4,1301531594.38,7,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/3_6.png:norm,3,6,4,1301531600.82,8,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/2_6.png:norm,2,6,0,1301531605.81,9,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/5_6.png:norm,5,6,0,1301531608.91,10,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/1_6.png:norm,1,6,0,1301531623.97,11,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/6_6.png:norm,6,6,4,1301531628.15,12,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/7_6.png:norm,7,6,4,1301531632.49,13,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/8_6.png:norm,8,6,4,1301531634.65,14,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/4_6.png:norm,4,6,2,1301531641.37,15,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,9_13.png:gold,9,13,4,1301531654.45,16,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,5_13.png:norm,5,13,4,1301531663.5,17,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,4_13.png:norm,4,13,3,1301531674.92,18,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,8_13.png:norm,8,13,0,1301531676.29,19,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,6_13.png:norm,6,13,1,1301531690.42,20,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,7_13.png:norm,7,13,0,1301531707.35,21,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/9_8.png:gold,9,8,4,1301531729.24,22,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/3_8.png:norm,3,8,4,1301531748.85,23,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/2_8.png:norm,2,8,4,1301531756.48,24,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/9_7.png:gold,9,7,4,1301531789.12,25,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/4_7.png:norm,4,7,0,1301531789.67,26,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/3_7.png:norm,3,7,4,1301531793.32,27,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/2_7.png:norm,2,7,4,1301531795.3,28,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/8_7.png:norm,8,7,3,1301531798.59,29,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/7_7.png:norm,7,7,4,1301531801.78,30,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/5_7.png:norm,5,7,3,1301531806.62,31,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/1_7.png:norm,1,7,2,1301531815.09,32,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/6_7.png:norm,6,7,4,1301531817.07,33,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/9_2.png:gold,9,2,4,1301531827.51,34,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,9_11.png:gold,9,11,4,1301605205.31,35,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/1_9.png:norm,1,9,2,1301605281.21,36,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/7_9.png:norm,7,9,2,1301605286.65,37,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/5_9.png:norm,5,9,0,1301605303.03,38,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/4_2.png:norm,4,2,2,1301605324.35,39,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/7_2.png:norm,7,2,4,1301605347.72,40,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/8_2.png:norm,8,2,4,1301605363.81,41,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/5_2.png:norm,5,2,0,1301605387.05,42,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/3_2.png:norm,3,2,4,1301605421.36,43,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/1_2.png:norm,1,2,1,1301605455.44,44,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/2_2.png:norm,2,2,4,1301605464.54,45,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/6_2.png:norm,6,2,2,1301605470.46,46,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/4_8.png:norm,4,8,0,1301605509.03,47,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/6_8.png:norm,6,8,3,1301605521.96,48,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/8_8.png:norm,8,8,3,1301605532.82,49,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/5_8.png:norm,5,8,0,1301605538.83,50,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/1_8.png:norm,1,8,0,1301605552.45,51,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/7_8.png:norm,7,8,0,1301605557.96,52,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,4_11.png:norm,4,11,0,1301605572.77,53,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,5_11.png:norm,5,11,3,1301605602.45,54,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,6_11.png:norm,6,11,4,1301707038.05,55,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,8_11.png:norm,8,11,2,1301707046.02,56,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,7_11.png:norm,7,11,4,1301707052.04,57,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/9_4.png:gold,9,4,4,1301707063.39,58,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
;021253621=0140?,Umati,/4_4.png:norm,4,4,1,1301707082.09,59,0,65,Male,18-20,High School,Undergraduate Student,CS,Yes,No
