Name,Method,File,Student,Question,Result,Time,Index,Gold_Wrong,Total_Answered,Gender,Age,Education,Relationship,Department,Crowdsourcing_Knowledge,Crowdsourcing_Use
Bobby,Expert,/5_7.png:norm,5,7,4,0.0,46,2,105,,,,,,,
Bobby,Expert,/5_8.png:norm,5,8,0,0.0,47,2,105,,,,,,,
Bobby,Expert,/5_9.png:norm,5,9,0,0.0,48,2,105,,,,,,,
Bobby,Expert,5_10.png:norm,5,10,4,0.0,49,2,105,,,,,,,
Bobby,Expert,5_11.png:norm,5,11,0,0.0,50,2,105,,,,,,,
Bobby,Expert,5_12.png:norm,5,12,4,0.0,51,2,105,,,,,,,
Bobby,Expert,5_13.png:norm,5,13,4,0.0,52,2,105,,,,,,,
Bobby,Expert,/6_1.png:norm,6,1,2,0.0,53,2,105,,,,,,,
Bobby,Expert,/6_2.png:norm,6,2,2,0.0,54,2,105,,,,,,,
Bobby,Expert,/6_3.png:norm,6,3,4,0.0,55,2,105,,,,,,,
Bobby,Expert,/6_4.png:norm,6,4,3,0.0,56,2,105,,,,,,,
Bobby,Expert,/6_5.png:norm,6,5,0,0.0,57,2,105,,,,,,,
Bobby,Expert,/6_6.png:norm,6,6,4,0.0,58,2,105,,,,,,,
Bobby,Expert,/6_7.png:norm,6,7,4,0.0,59,2,105,,,,,,,
Bobby,Expert,/6_8.png:norm,6,8,4,0.0,60,2,105,,,,,,,
Bobby,Expert,/6_9.png:norm,6,9,4,0.0,61,2,105,,,,,,,
Bobby,Expert,6_10.png:norm,6,10,4,0.0,62,2,105,,,,,,,
Bobby,Expert,6_11.png:norm,6,11,4,0.0,63,2,105,,,,,,,
Bobby,Expert,6_12.png:norm,6,12,2,0.0,64,2,105,,,,,,,
Bobby,Expert,6_13.png:norm,6,13,3,0.0,65,2,105,,,,,,,
Bobby,Expert,/7_1.png:norm,7,1,4,0.0,66,2,105,,,,,,,
Bobby,Expert,/7_2.png:norm,7,2,3,0.0,67,2,105,,,,,,,
Bobby,Expert,/7_3.png:norm,7,3,0,0.0,68,2,105,,,,,,,
Bobby,Expert,/7_4.png:norm,7,4,4,0.0,69,2,105,,,,,,,
Bobby,Expert,/7_5.png:norm,7,5,4,0.0,70,2,105,,,,,,,
Bobby,Expert,/7_6.png:norm,7,6,4,0.0,71,2,105,,,,,,,
Bobby,Expert,/7_7.png:norm,7,7,3,0.0,72,2,105,,,,,,,
Bobby,Expert,/7_8.png:norm,7,8,0,0.0,73,2,105,,,,,,,
Bobby,Expert,/7_9.png:norm,7,9,0,0.0,74,2,105,,,,,,,
Bobby,Expert,7_10.png:norm,7,10,0,0.0,75,2,105,,,,,,,
Bobby,Expert,7_11.png:norm,7,11,4,0.0,76,2,105,,,,,,,
Bobby,Expert,7_12.png:norm,7,12,1,0.0,77,2,105,,,,,,,
Bobby,Expert,7_13.png:norm,7,13,1,0.0,78,2,105,,,,,,,
Bobby,Expert,/8_1.png:norm,8,1,4,0.0,79,2,105,,,,,,,
Bobby,Expert,/8_2.png:norm,8,2,4,0.0,80,2,105,,,,,,,
Bobby,Expert,/8_3.png:norm,8,3,1,0.0,81,2,105,,,,,,,
Bobby,Expert,/8_4.png:norm,8,4,3,0.0,82,2,105,,,,,,,
Bobby,Expert,/8_5.png:norm,8,5,4,0.0,83,2,105,,,,,,,
Bobby,Expert,/8_6.png:norm,8,6,4,0.0,84,2,105,,,,,,,
Bobby,Expert,/8_7.png:norm,8,7,4,0.0,85,2,105,,,,,,,
Bobby,Expert,/8_8.png:norm,8,8,4,0.0,86,2,105,,,,,,,
Bobby,Expert,/8_9.png:norm,8,9,0,0.0,87,2,105,,,,,,,
Bobby,Expert,8_10.png:norm,8,10,0,0.0,88,2,105,,,,,,,
Bobby,Expert,8_11.png:norm,8,11,3,0.0,89,2,105,,,,,,,
Bobby,Expert,8_12.png:norm,8,12,1,0.0,90,2,105,,,,,,,
Bobby,Expert,8_13.png:norm,8,13,4,0.0,91,2,105,,,,,,,
Bobby,Expert,/9_1.png:gold,9,1,4,0.0,92,2,105,,,,,,,
Bobby,Expert,/9_2.png:gold,9,2,4,0.0,93,2,105,,,,,,,
Bobby,Expert,/9_3.png:gold,9,3,4,0.0,94,2,105,,,,,,,
Bobby,Expert,/9_4.png:gold,9,4,3,0.0,95,2,105,,,,,,,
Bobby,Expert,/9_5.png:gold,9,5,4,0.0,96,2,105,,,,,,,
Bobby,Expert,/9_6.png:gold,9,6,4,0.0,97,2,105,,,,,,,
Bobby,Expert,/9_7.png:gold,9,7,4,0.0,98,2,105,,,,,,,
Bobby,Expert,/9_8.png:gold,9,8,4,0.0,99,2,105,,,,,,,
Bobby,Expert,/9_9.png:gold,9,9,4,0.0,100,2,105,,,,,,,
Bobby,Expert,9_10.png:gold,9,10,4,0.0,101,2,105,,,,,,,
Bobby,Expert,9_11.png:gold,9,11,4,0.0,102,2,105,,,,,,,
Bobby,Expert,9_12.png:gold,9,12,3,0.0,103,2,105,,,,,,,
Bobby,Expert,9_13.png:gold,9,13,4,0.0,104,2,105,,,,,,,
